,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
2665,Dmitriy Shokin,UZB,male,1992-05-30,1.93,97.0,taekwondo,0,0,0,0,1992,24
2666,Dmitry Kroyter,ISR,male,1993-02-18,1.87,73.0,athletics,0,0,0,0,1993,23
2667,Dmitry Larionov,RUS,male,1985-12-22,1.78,84.0,canoe,0,0,0,0,1985,31
2668,Dmitry Polyanskiy,RUS,male,1986-11-19,1.82,69.0,triathlon,0,0,0,0,1986,30
2669,Dmitry Zherebchenko,RUS,male,1989-06-27,1.85,78.0,fencing,0,0,0,0,1989,27
2670,Dmytro Chumak,UKR,male,1990-07-11,1.71,94.0,weightlifting,0,0,0,0,1990,26
2671,Dmytro Ianchuk,UKR,male,1992-11-14,1.84,75.0,canoe,0,0,1,1,1992,24
2672,Dmytro Karyuchenko,UKR,male,1980-01-15,1.79,79.0,fencing,0,0,0,0,1980,36
2673,Dmytro Kosynskyy,UKR,male,1989-03-31,1.98,105.0,athletics,0,0,0,0,1989,27
2674,Dmytro Mikhay,UKR,male,1990-02-27,1.95,96.0,rowing,0,0,0,0,1990,26
2675,Dmytro Mytrofanov,UKR,male,1989-11-08,1.73,89.0,boxing,0,0,0,0,1989,27
2676,Dmytro Oseledets,UKR,male,1994-11-23,1.87,82.0,aquatics,0,0,0,0,1994,22
2677,Dmytro Yakovenko,UKR,male,1992-09-17,1.92,70.0,athletics,0,0,0,0,1992,24
2678,Doaa Elghobashy,EGY,female,1996-11-08,1.77,66.0,volleyball,0,0,0,0,1996,20
2679,Dolores Hernandez,MEX,female,1997-05-21,1.62,62.0,aquatics,0,0,0,0,1997,19
2680,Dolores Moreira Fraschini,URU,female,1999-02-16,1.68,63.0,sailing,0,0,0,0,1999,17
2681,Domagoj Duvnjak,CRO,male,1988-06-01,1.98,100.0,handball,0,0,0,0,1988,28
2682,Domantas Sabonis,LTU,male,1996-05-03,2.08,109.0,basketball,0,0,0,0,1996,20
2683,Domenic Weinstein,GER,male,1994-08-27,1.88,83.0,cycling,0,0,0,0,1994,22
2684,Domenico Montrone,ITA,male,1986-05-01,1.89,97.0,rowing,0,0,1,1,1986,30
2685,Dominic Dugasse,SEY,male,1985-04-19,1.8,99.0,judo,0,0,0,0,1985,31
2686,Dominic Inglot,GBR,male,1986-03-06,1.98,95.0,tennis,0,0,0,0,1986,30
2687,Dominic King,GBR,male,1983-05-30,1.78,69.0,athletics,0,0,0,0,1983,33
2688,Dominik Distelberger,AUT,male,1990-03-16,1.86,81.0,athletics,0,0,0,0,1990,26
2689,Dominik Kozma,HUN,male,1991-04-10,1.91,90.0,aquatics,0,0,0,0,1991,25
2690,Dominique Bouchard,CAN,female,1991-05-29,1.74,61.0,aquatics,0,0,0,0,1991,25
2691,Dominique Scott,RSA,female,1992-06-24,1.66,52.0,athletics,0,0,0,0,1992,24
2692,Dominykas Jancionis,LTU,male,1993-02-28,1.92,95.0,rowing,0,0,0,0,1993,23
2693,Domonic Bedggood,AUS,male,1994-09-18,1.63,55.0,aquatics,0,0,0,0,1994,22
2694,Donald Blair-Sanford,ISR,male,1987-02-05,1.96,81.0,athletics,0,0,0,0,1987,29
2695,Donald Cabral,USA,male,1989-12-12,1.78,68.0,athletics,0,0,0,0,1989,27
2696,Donald Thomas,BAH,male,1984-07-10,1.91,81.0,athletics,0,0,0,0,1984,32
2697,Donata Rimshaite,RUS,female,1988-01-29,1.76,62.0,modern pentathlon,0,0,0,0,1988,28
2698,Donata Vistartaite,LTU,female,1989-06-11,1.7,62.0,rowing,0,0,1,1,1989,27
2699,Dong Dong,CHN,male,1989-04-13,1.68,56.0,gymnastics,0,1,0,1,1989,27
2700,Dong Keun Lee,KOR,male,1990-11-20,1.83,78.0,badminton,0,0,0,0,1990,26
2701,Donghan Gwak,KOR,male,1992-04-20,1.83,90.0,judo,0,0,1,1,1992,24
2702,Donghyen Shin,KOR,male,1989-09-23,1.66,83.0,gymnastics,0,0,0,0,1989,27
2703,Dongjin Kang,KOR,male,1987-12-23,1.68,76.0,cycling,0,0,0,0,1987,29
2704,Dongjin Park,KOR,male,1994-12-10,1.82,73.0,football,0,0,0,0,1994,22
2705,Dongju Yu,KOR,male,1993-08-19,1.75,84.0,weightlifting,0,0,0,0,1993,23
2706,Dongjun Kim,KOR,male,1994-12-19,1.88,84.0,football,0,0,0,0,1994,22
2707,Donglun Song,CHN,female,1991-04-28,1.78,83.0,aquatics,0,0,0,0,1991,25
2708,Dongmin Cha,KOR,male,1986-08-24,1.9,91.0,taekwondo,0,0,1,1,1986,30
2709,Dongna Li,CHN,female,1988-12-06,1.7,58.0,football,0,0,0,0,1988,28
2710,Dongseon Kim,KOR,male,1989-05-30,1.89,80.0,equestrian,0,0,0,0,1989,27
2711,Dongxiao Li,CHN,female,1987-11-26,1.75,60.0,hockey,0,0,0,0,1987,29
2712,Dongyan Huang,CHN,female,1993-12-14,1.72,63.0,cycling,0,0,0,0,1993,23
2713,Dongyong Kim,KOR,male,1990-12-12,1.89,91.0,rowing,0,0,0,0,1990,26
2714,Donis Escober,HON,male,1981-02-03,1.8,85.0,football,0,0,0,0,1981,35
2715,Donna Vakalis,CAN,female,1979-12-30,1.64,53.0,modern pentathlon,0,0,0,0,1979,37
2716,Dora Antal,HUN,female,1993-09-09,1.69,62.0,aquatics,0,0,0,0,1993,23
2717,Dora Csabai,HUN,female,1989-04-20,1.75,63.0,aquatics,0,0,0,0,1989,27
2718,Dora Czigany,HUN,female,1992-10-23,1.73,60.0,aquatics,0,0,0,0,1992,24
2719,Dorcas Gyimah,GHA,female,1992-02-02,1.8199999999999998,61.5,athletics,0,0,0,0,1992,24
2720,Doreen Amata,NGR,female,1988-05-06,1.91,63.0,athletics,0,0,0,0,1988,28
2721,Doreen Nziwa,KEN,female,1982-07-04,1.57,70.0,rugby sevens,0,0,0,0,1982,34
2722,Dorian Coninx,FRA,male,1994-01-28,1.81,70.0,triathlon,0,0,0,0,1994,22
2723,Dorian McMenemy Taylor,DOM,female,1996-10-28,1.86,55.0,aquatics,0,0,0,0,1996,20
2724,Dorian Mortelette,FRA,male,1983-11-24,1.95,90.0,rowing,0,0,0,0,1983,33
2725,Dorian van Rijsselberghe,NED,male,1988-11-24,1.89,75.0,sailing,1,0,0,1,1988,28
2726,Doris Esmid Patino Marin,COL,female,1986-05-01,1.65,56.0,taekwondo,0,0,0,0,1986,30
2727,Dorlan Pabon,COL,male,1988-01-24,1.68,68.0,football,0,0,0,0,1988,28
2728,Dorothea Brandt,GER,female,1984-03-05,1.79,67.0,aquatics,0,0,0,0,1984,32
2729,Dorothee Schneider,GER,female,1969-02-17,1.69,63.0,equestrian,1,0,0,1,1969,47
2730,Dorothy Erzsebet Yeats,CAN,female,1993-07-29,1.6,71.0,wrestling,0,0,0,0,1993,23
2731,Doston Yokubov,UZB,male,1995-04-05,1.58,69.0,weightlifting,0,0,0,0,1995,21
2732,Doszhan Kartikov,KAZ,male,1989-05-24,1.73,75.0,wrestling,0,0,0,0,1989,27
