,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
0,A Jesus Garcia,ESP,male,1969-10-17,1.72,64.0,athletics,0,0,0,0,1969,47
1,A Lam Shin,KOR,female,1986-09-23,1.68,56.0,fencing,0,0,0,0,1986,30
2,Aaron Brown,CAN,male,1992-05-27,1.98,79.0,athletics,0,0,1,1,1992,24
3,Aaron Cook,MDA,male,1991-01-02,1.83,80.0,taekwondo,0,0,0,0,1991,25
4,Aaron Gate,NZL,male,1990-11-26,1.81,71.0,cycling,0,0,0,0,1990,26
5,Aaron Royle,AUS,male,1990-01-26,1.8,67.0,triathlon,0,0,0,0,1990,26
6,Aaron Russell,USA,male,1993-06-04,2.05,98.0,volleyball,0,0,1,1,1993,23
7,Aaron Younger,AUS,male,1991-09-25,1.93,100.0,aquatics,0,0,0,0,1991,25
8,Aauri Lorena Bokesa,ESP,female,1988-12-14,1.8,62.0,athletics,0,0,0,0,1988,28
9,Ababel Yeshaneh,ETH,female,1991-07-22,1.65,54.0,athletics,0,0,0,0,1991,25
10,Abadi Hadis,ETH,male,1997-11-06,1.7,63.0,athletics,0,0,0,0,1997,19
11,Abbas Abubakar Abbas,BRN,male,1996-05-17,1.75,66.0,athletics,0,0,0,0,1996,20
12,Abbas Qali,IOA,male,1992-10-11,1.6800000000000002,57.5,aquatics,0,0,0,0,1992,24
13,Abbey D'Agostino,USA,female,1992-05-25,1.61,49.0,athletics,0,0,0,0,1992,24
14,Abbey Weitzeil,USA,female,1996-12-03,1.78,68.0,aquatics,1,1,0,2,1996,20
15,Abbie Brown,GBR,female,1996-04-10,1.76,71.0,rugby sevens,0,0,0,0,1996,20
16,Abbos Rakhmonov,UZB,male,1998-07-07,1.61,57.0,wrestling,0,0,0,0,1998,18
17,Abbubaker Mobara,RSA,male,1994-02-18,1.75,64.0,football,0,0,0,0,1994,22
18,Abby Erceg,NZL,female,1989-11-20,1.75,68.0,football,0,0,0,0,1989,27
19,Abd Elhalim Mohamed Abou,EGY,male,1989-06-03,2.1,88.0,volleyball,0,0,0,0,1989,27
20,Abdalaati Iguider,MAR,male,1987-03-25,1.73,57.0,athletics,0,0,0,0,1987,29
21,Abdalelah Haroun,QAT,male,1997-01-01,1.85,80.0,athletics,0,0,0,0,1997,19
22,Abdalla Targan,SUD,male,1996-09-28,1.77,65.0,athletics,0,0,0,0,1996,20
23,Abdel Aziz Mehelba,EGY,male,1988-12-10,1.76,80.0,shooting,0,0,0,0,1988,28
24,Abdelati El Guesse,MAR,male,1993-02-27,1.9,72.0,athletics,0,0,0,0,1993,23
25,Abdelaziz Merzougui,ESP,male,1991-08-30,1.75,67.0,athletics,0,0,0,0,1991,25
26,Abdelaziz Mohamed Ahmed,SUD,male,1994-10-12,1.81,72.0,aquatics,0,0,0,0,1994,22
27,Abdelghani Demmou,ALG,male,1989-01-29,1.85,75.0,football,0,0,0,0,1989,27
28,Abdelhafid Benchabla,ALG,male,1986-09-26,1.86,72.5,boxing,0,0,0,0,1986,30
29,Abdelhakim Amokrane,ALG,male,1994-05-10,1.86,70.0,football,0,0,0,0,1994,22
30,Abdelkader Chadi,ALG,male,1986-12-12,1.78,74.5,boxing,0,0,0,0,1986,30
31,Abdelkadir Salhi,ALG,male,1993-03-19,1.85,79.0,football,0,0,0,0,1993,23
32,Abdelkebir Ouaddar,MAR,male,1962-07-15,1.74,67.0,equestrian,0,0,0,0,1962,54
33,Abdelkhalek Elbanna,EGY,male,1988-07-04,1.93,95.0,rowing,0,0,0,0,1988,28
34,Abdellatif Mohamed Ahmed Mohamed,EGY,male,1995-12-08,1.76,120.0,wrestling,0,0,0,0,1995,21
35,Abdelmajid El Hissouf,MAR,male,1992-09-23,1.7,56.0,athletics,0,0,0,0,1992,24
36,Abdelmalik Lahoulou,ALG,male,1992-05-07,1.77,72.0,athletics,0,0,0,0,1992,24
37,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,1987-10-09,1.85,68.5,boxing,0,0,0,0,1987,29
38,Abdelraouf Benguit,ALG,male,1996-04-05,1.7,65.0,football,0,0,0,0,1996,20
39,Abderrahmane Benamadi,ALG,male,1985-07-03,1.83,90.0,judo,0,0,0,0,1985,31
40,Abderrahmane Mansouri,ALG,male,1995-01-13,1.72,66.0,cycling,0,0,0,0,1995,21
41,Abderrahmane Meziane,ALG,male,1994-03-07,1.68,62.0,football,0,0,0,0,1994,22
42,Abdi Hakin Ulad,DEN,male,1991-06-14,1.75,57.0,athletics,0,0,0,0,1991,25
43,Abdi Nageeye,NED,male,1989-03-02,1.65,54.0,athletics,0,0,0,0,1989,27
44,Abdi Waiss Mouhyadin,DJI,male,1996-07-03,1.6,60.0,athletics,0,0,0,0,1996,20
45,Abdoul Khadre Mbaye Niane,SEN,male,1988-08-20,1.9,90.0,aquatics,0,0,0,0,1988,28
46,Abdoulkarim Fawziya,CMR,female,1989-03-01,1.8,67.0,volleyball,0,0,0,0,1989,27
47,Abdoullah Bamoussa,ITA,male,1986-06-08,1.935,82.5,athletics,0,0,0,0,1986,30
48,Abdoulrazak Issoufou Alfaga,NIG,male,1994-12-26,2.07,98.0,taekwondo,0,1,0,1,1994,22
49,Abdul Khalili,SWE,male,1992-06-07,1.81,71.0,football,0,0,0,0,1992,24
50,Abdul Omar,GHA,male,1993-10-03,1.78,69.5,boxing,0,0,0,0,1993,23
51,Abdul Wahab Zahiri,AFG,male,1992-05-27,1.75,68.0,athletics,0,0,0,0,1992,24
52,Abdulaziz Alshatti,IOA,male,1990-10-30,1.815,69.66666666666667,fencing,0,0,0,0,1990,26
53,Abdulkadir Abdullayev,AZE,male,1988-07-17,1.88,71.33333333333333,boxing,0,0,0,0,1988,28
54,Abdullah Abkar Mohammed,KSA,male,1997-01-01,1.72,73.0,athletics,0,0,0,0,1997,19
55,Abdullah Alrashidi,IOA,male,1963-08-21,1.83,84.0,shooting,0,0,1,1,1963,53
56,Abdullah Hel Baki,BAN,male,1989-08-01,1.7650000000000001,100.0,shooting,0,0,0,0,1989,27
57,Abdullahi Shehu,NGR,male,1993-03-12,1.7,116.0,football,0,0,1,1,1993,23
58,Abdullo Tangriev,UZB,male,1981-03-28,1.9,132.0,judo,0,0,0,0,1981,35
59,Abdulrahman Al Faihan,IOA,male,1986-06-24,1.835,109.0,shooting,0,0,0,0,1986,30
60,Abdulrashid Sadulaev,RUS,male,1996-05-09,1.77,86.0,wrestling,1,0,0,1,1996,20
61,Abdulrazzaq Murad,QAT,male,1990-06-29,1.86,77.0,handball,0,0,0,0,1990,26
62,Abeku Gyekye Jackson,GHA,male,2000-04-12,1.8050000000000002,73.5,aquatics,0,0,0,0,2000,16
63,Abhinav Bindra,IND,male,1982-09-28,1.75,70.0,shooting,0,0,0,0,1982,34
64,Abigail Johnston,USA,female,1989-11-16,1.66,61.0,aquatics,0,0,0,0,1989,27
65,Abigel Joo,HUN,female,1990-08-06,1.83,76.0,judo,0,0,0,0,1990,26
66,Ablaikhan Zhussupov,KAZ,male,1997-01-10,1.75,70.5,boxing,0,0,0,0,1997,19
67,Abraham Kipchirchir Rotich,BRN,male,1993-09-26,1.83,65.0,athletics,0,0,0,0,1993,23
68,Abraham Naibei Cheroben,BRN,male,1992-10-11,1.76,60.0,athletics,0,0,0,0,1992,24
69,Abraham Niyonkuru,BDI,male,1989-12-26,1.62,52.0,athletics,0,0,0,0,1989,27
70,Abrar Osman,ERI,male,1994-01-01,1.68,58.0,athletics,0,0,0,0,1994,22
71,Abubaker Haydar Abdalla,QAT,male,1996-08-28,1.8,60.0,athletics,0,0,0,0,1996,20
72,Achraf Kharroubi,MAR,male,1990-09-25,1.6,65.5,boxing,0,0,0,0,1990,26
73,Adam Batirov,BRN,male,1985-01-13,1.65,71.0,wrestling,0,0,0,0,1985,31
74,Adam Cwalina,POL,male,1985-01-26,1.87,81.0,badminton,0,0,0,0,1985,31
75,Adam Decker,HUN,male,1984-02-29,2.03,115.0,aquatics,0,0,0,0,1984,32
76,Adam Dixon,GBR,male,1986-09-11,1.69,70.0,hockey,0,0,0,0,1986,30
77,Adam Froese,CAN,male,1991-08-13,1.82,81.0,hockey,0,0,0,0,1991,25
78,Adam Gemili,GBR,male,1993-10-06,1.78,75.0,athletics,0,0,0,0,1993,23
79,Adam Imer,BRA,male,1989-08-18,1.82,88.0,hockey,0,0,0,0,1989,27
80,Adam Kszczot,POL,male,1989-09-02,1.78,68.0,athletics,0,0,0,0,1989,27
81,Adam Lundqvist,SWE,male,1994-03-20,1.74,70.0,football,0,0,0,0,1994,22
82,Adam Marosi,HUN,male,1984-07-26,1.81,75.0,modern pentathlon,0,0,0,0,1984,32
83,Adam Okruashvili,GEO,male,1989-01-01,1.89,130.0,judo,0,0,0,0,1989,27
84,Adam Pattantyus,HUN,male,1978-10-10,1.75,71.0,table tennis,0,0,0,0,1978,38
85,Adam Peaty,GBR,male,1994-12-28,1.93,88.0,aquatics,1,1,0,2,1994,22
86,Adam Sebastian Helcelet,CZE,male,1991-10-27,1.9,92.0,athletics,0,0,0,0,1991,25
87,Adam Telegdy,HUN,male,1995-11-01,1.94,77.0,aquatics,0,0,0,0,1995,21
88,Adam Vella,AUS,male,1971-06-12,1.78,92.0,shooting,0,0,0,0,1971,45
89,Adam Viktora,SEY,male,1996-09-06,1.88,94.0,aquatics,0,0,0,0,1996,20
90,Adam Wisniewski,POL,male,1980-10-24,1.93,93.0,handball,0,0,0,0,1980,36
91,Adam Yates,GBR,male,1992-08-07,1.72,58.0,cycling,0,0,0,0,1992,24
92,Adam van Koeverden,CAN,male,1982-01-29,1.82,85.0,canoe,0,0,0,0,1982,34
93,Adama Diatta,SEN,male,1988-08-14,1.65,57.0,wrestling,0,0,0,0,1988,28
94,Adama Jammeh,GAM,male,1993-06-10,1.795,73.5,athletics,0,0,0,0,1993,23
95,Adas Juskevicius,LTU,male,1989-01-03,1.94,90.0,basketball,0,0,0,0,1989,27
96,Adel Gholami,IRI,male,1986-02-09,1.95,88.0,volleyball,0,0,0,0,1986,30
97,Adel Mechaal,ESP,male,1990-12-05,1.82,71.0,athletics,0,0,0,0,1990,26
98,Adel Mojallalimoghadam,IRI,male,1993-03-21,1.85,82.0,canoe,0,0,0,0,1993,23
99,Adela Bruns,CZE,female,1987-02-05,1.71,60.0,shooting,0,0,0,0,1987,29
100,Adela Hanzlickova,CZE,female,1994-05-04,1.71,67.0,wrestling,0,0,0,0,1994,22
101,Adelina Bogus,ROU,female,1988-09-04,1.86,75.0,rowing,0,0,1,1,1988,28
102,Adelina Pastor,ROU,female,1993-05-05,1.68,56.0,athletics,0,0,0,0,1993,23
103,Adelinde Cornelissen,NED,female,1979-07-07,1.68,55.0,equestrian,0,0,0,0,1979,37
104,Adeline Maria Gray,USA,female,1991-01-15,1.73,77.0,wrestling,0,0,0,0,1991,25
105,Adem Boudjemline,ALG,male,1994-02-28,1.8,85.0,wrestling,0,0,0,0,1994,22
106,Adenizia da Silva,BRA,female,1986-12-18,1.87,65.0,volleyball,0,0,0,0,1986,30
107,Adham Ahmed Saleh Kahk,EGY,male,1993-06-27,1.6,66.0,wrestling,0,0,0,0,1993,23
108,Adilbek Niyazymbetov,KAZ,male,1989-05-19,1.8,72.5,boxing,0,1,0,1,1989,27
109,Adilson da Silva,BRA,male,1972-01-24,1.7,79.0,golf,0,0,0,0,1972,44
110,Aditi Ashok,IND,female,1998-03-29,1.73,57.0,golf,0,0,0,0,1998,18
111,Adlan Abdurashidov,RUS,male,1990-07-31,1.72,67.5,boxing,0,0,0,0,1990,26
112,Adnan Maric,SWE,male,1997-02-17,1.83,78.0,football,0,0,0,0,1997,19
113,Adrian Andres Puentes Perez,CUB,male,1988-07-03,1.71,76.0,archery,0,0,0,0,1988,28
114,Adrian Baches,BRA,male,1990-04-07,1.84,83.0,aquatics,0,0,0,0,1990,26
115,Adrian Blocki,POL,male,1990-04-11,1.74,62.0,athletics,0,0,0,0,1990,26
116,Adrian Chacon,CUB,male,1988-12-10,1.87,90.0,athletics,0,0,0,0,1988,28
117,Adrian Crisan,ROU,male,1980-05-07,1.86,85.0,table tennis,0,0,0,0,1980,36
118,Adrian Dziolko,POL,male,1990-02-22,1.89,85.0,badminton,0,0,0,0,1990,26
119,Adrian Eduardo Goide Arredondo,CUB,male,1998-06-26,1.91,80.0,volleyball,0,0,0,0,1998,18
120,Adrian Edward Zielinski,POL,male,1989-03-28,1.7,94.0,weightlifting,0,0,0,0,1989,27
121,Adrian Gavira Collado,ESP,male,1987-09-17,1.93,89.0,volleyball,0,0,0,0,1987,29
122,Adrian Gomboc,SLO,male,1995-01-20,1.7,69.0,judo,0,0,0,0,1995,21
123,Adrian Griffith,BAH,male,1984-11-11,1.78,75.0,athletics,0,0,0,0,1984,32
124,Adrian Ignacio Carambula Raurich,ITA,male,1988-03-16,1.82,83.0,volleyball,0,0,0,0,1988,28
125,Adrian Juhasz,HUN,male,1989-11-18,1.88,89.0,rowing,0,0,0,0,1989,27
126,Adrian Oquendo,CUB,male,1990-02-23,1.89,87.0,rowing,0,0,0,0,1990,26
127,Adrian Portela,ARG,male,1986-03-08,1.85,95.0,handball,0,0,0,0,1986,30
128,Adriana Aparecida da Silva,BRA,female,1981-07-22,1.66,52.0,athletics,0,0,0,0,1981,35
129,Adriana Araujo,BRA,female,1981-11-04,1.67,51.0,boxing,0,0,0,0,1981,35
130,Adriana Diaz,PUR,female,2000-10-31,1.6,50.0,table tennis,0,0,0,0,2000,16
131,Adriana Martin,ESP,female,1996-04-12,1.62,65.0,archery,0,0,0,0,1996,20
132,Adriana Moises,BRA,female,1978-12-06,1.7,65.0,basketball,0,0,0,0,1978,38
133,Adrien Bart,FRA,male,1991-09-04,1.85,84.0,canoe,0,0,0,0,1991,25
134,Adrien Dipanda,FRA,male,1988-05-03,2.02,105.0,handball,0,1,0,1,1988,28
135,Adrien Niyonshuti,RWA,male,1987-01-02,1.65,68.0,cycling,0,0,0,0,1987,29
136,Adrienne Martelli,USA,female,1987-12-03,1.86,77.0,rowing,0,0,0,0,1987,29
137,Adzo Rebecca Kpossi,TOG,female,1999-01-25,1.58,53.0,aquatics,0,0,0,0,1999,17
138,Ae-Ri Noort,NED,female,1983-01-10,1.6,49.0,rowing,0,0,0,0,1983,33
139,Afa Ismail,MDV,female,1993-11-01,1.615,62.0,athletics,0,0,0,0,1993,23
140,Afaf Elhodhod,EGY,female,1996-10-01,1.63,75.0,shooting,0,0,0,0,1996,20
141,Afef Ben Ismail,TUN,female,1994-03-17,1.73,60.0,canoe,0,0,0,0,1994,22
142,Africa Zamorano Sanz,ESP,female,1998-01-11,1.7,58.0,aquatics,0,0,0,0,1998,18
143,Afrodite Zegers,NED,female,1991-12-02,1.61,58.0,sailing,0,0,0,0,1991,25
144,Agata Forkasiewicz,POL,female,1994-01-13,1.68,54.0,athletics,0,0,0,0,1994,22
145,Agatha Bednarczuk,BRA,female,1983-06-22,1.82,70.0,volleyball,0,1,0,1,1983,33
146,Ageze Guadie,ISR,male,1989-09-11,1.75,56.0,athletics,0,0,0,0,1989,27
147,Aglaia Pezzato,ITA,female,1994-04-22,1.75,60.0,aquatics,0,0,0,0,1994,22
148,Agnes Osazuwa,NGR,female,1989-11-26,1.62,65.0,athletics,0,0,0,0,1989,27
149,Agnes Raharolahy,FRA,female,1992-11-07,1.67,58.0,athletics,0,0,0,0,1992,24
150,Agnese Pastare,LAT,female,1988-10-27,1.79,68.0,athletics,0,0,0,0,1988,28
151,Agnete Kirk Thinggaard,DEN,female,1983-05-18,1.72,62.0,equestrian,0,0,0,0,1983,33
152,Agnieszka Dygacz,POL,female,1985-07-18,1.6,47.0,athletics,0,0,0,0,1985,31
153,Agnieszka Jadwiga Wieszczek-Kordus,POL,female,1983-03-22,1.75,69.0,wrestling,0,0,0,0,1983,33
154,Agnieszka Jerzyk,POL,female,1988-01-15,1.7,59.0,triathlon,0,0,0,0,1988,28
155,Agnieszka Kobus,POL,female,1990-08-28,1.77,68.0,rowing,0,0,1,1,1990,26
156,Agnieszka Nagay,POL,female,1981-02-20,1.69,61.0,shooting,0,0,0,0,1981,35
157,Agnieszka Radwanska,POL,female,1989-03-06,1.73,59.0,tennis,0,0,0,0,1989,27
158,Agnieszka Skrzypulec,POL,female,1989-06-03,1.66,53.0,sailing,0,0,0,0,1989,27
159,Agnieszka Szwarnog,POL,female,1986-12-28,1.65,51.0,athletics,0,0,0,0,1986,30
160,Agustin Mazzilli,ARG,male,1989-06-20,1.73,77.0,hockey,1,0,0,1,1989,27
161,Agustin Vidal,ARG,male,1987-07-08,1.94,100.0,handball,0,0,0,0,1987,29
162,Agustina Albertarrio,ARG,female,1993-01-01,1.65,55.0,hockey,0,0,0,0,1993,23
163,Agustina Habif,ARG,female,1992-03-08,1.65,55.0,hockey,0,0,0,0,1992,24
164,Ahmad Abughaush,JOR,male,1996-02-01,1.78,68.0,taekwondo,1,0,0,1,1996,20
165,Ahmad Alafasi,IOA,male,1983-01-10,1.7000000000000002,65.0,shooting,0,0,0,0,1983,33
166,Ahmad Amsyar Azman,MAS,male,1992-08-28,1.62,62.0,aquatics,0,0,0,0,1992,24
167,Ahmad Hazer,LIB,male,1989-09-04,1.88,80.0,athletics,0,0,0,0,1989,27
168,Ahmed Abdelaal,EGY,male,1989-06-08,1.88,89.0,volleyball,0,0,0,0,1989,27
169,Ahmed Abdelhay,EGY,male,1984-08-19,1.97,87.0,volleyball,0,0,0,0,1984,32
170,Ahmed Abelrahman,EGY,male,1996-05-26,1.65,60.0,judo,0,0,0,0,1996,20
171,Ahmed Afifi,EGY,male,1988-03-30,1.94,92.0,volleyball,0,0,0,0,1988,28
172,Ahmed Akram,EGY,male,1996-10-20,1.88,80.0,aquatics,0,0,0,0,1996,20
173,Ahmed Ali,SUD,male,1993-11-15,1.73,75.0,athletics,0,0,0,0,1993,23
174,Ahmed Attellesey,LBA,male,1995-07-30,1.815,82.5,aquatics,0,0,0,0,1995,21
175,Ahmed Bader Magour,QAT,male,1996-03-03,1.9,90.0,athletics,0,0,0,0,1996,20
176,Ahmed Darwish,EGY,male,1981-07-02,1.72,80.0,shooting,0,0,0,0,1981,35
177,Ahmed El Kotb,EGY,male,1991-07-23,1.97,80.0,volleyball,0,0,0,0,1991,25
178,Ahmed El-Nemr,EGY,male,1978-11-21,1.83,84.0,archery,0,0,0,0,1978,38
179,Ahmed Elahmar,EGY,male,1984-01-27,1.81,79.0,handball,0,0,0,0,1984,32
180,Ahmed Gebrel,PLE,male,1991-01-22,1.8050000000000002,76.0,aquatics,0,0,0,0,1991,25
181,Ahmed Goumar,NIG,male,1988-02-22,1.8,73.0,judo,0,0,0,0,1988,28
182,Ahmed Ibrahim,IRQ,male,1992-02-25,1.84,80.0,football,0,0,0,0,1992,24
183,Ahmed Kamar,EGY,male,1986-09-19,1.75,60.0,shooting,0,0,0,0,1986,30
184,Ahmed Mathlouthi,TUN,male,1989-12-18,1.9,90.0,aquatics,0,0,0,0,1989,27
185,Ahmed Mohamed,EGY,male,1996-04-08,1.7,73.0,shooting,0,0,0,0,1996,20
186,Ahmed Mohamed,EGY,male,1988-04-27,1.85,144.0,weightlifting,0,0,0,0,1988,28
187,Ahmed Mohamed Ibrahim Saad,EGY,male,1989-02-25,1.65,85.0,wrestling,0,0,0,0,1989,27
188,Ahmed Ragab,EGY,male,1991-09-29,1.74,81.0,sailing,0,0,0,0,1991,25
189,Ahmed Saad,EGY,male,1986-11-01,1.6,62.0,weightlifting,0,0,0,0,1986,30
190,Ahmed Shaban,EGY,male,1979-03-08,1.9,95.0,shooting,0,0,0,0,1979,37
191,Ahmet Li,TUR,male,1991-01-12,1.73,67.0,table tennis,0,0,0,0,1991,25
192,Ahmet Orken,TUR,male,1993-03-12,1.77,69.0,cycling,0,0,0,0,1993,23
193,Ahreum Na,KOR,female,1990-03-24,1.63,55.0,cycling,0,0,0,0,1990,26
194,Ahymara Espinoza,VEN,female,1985-05-28,1.8,99.0,athletics,0,0,0,0,1985,31
195,Ai Fukuhara,JPN,female,1988-11-01,1.56,48.0,table tennis,0,0,1,1,1988,28
196,Ai Kondo Yoshida,JPN,female,1980-11-05,1.61,58.0,sailing,0,0,0,0,1980,36
197,Ai Ueda,JPN,female,1983-10-26,1.55,44.0,triathlon,0,0,0,0,1983,33
198,Ai Wen Yu,TPE,female,1995-12-27,1.57,52.0,shooting,0,0,0,0,1995,21
199,Aiaal Lazarev,KGZ,male,1986-03-19,1.95,125.0,wrestling,0,0,0,0,1986,30
200,Aichen Wang,CHN,male,1985-03-28,1.85,75.0,sailing,0,0,0,0,1985,31
201,Aida Fall,SEN,female,1986-11-10,1.93,95.0,basketball,0,0,0,0,1986,30
202,Aida Mohamed,HUN,female,1976-03-12,1.62,58.0,fencing,0,0,0,0,1976,40
203,Aida Roman,MEX,female,1988-05-21,1.69,64.0,archery,0,0,0,0,1988,28
204,Aida Shanaeva,RUS,female,1986-04-23,1.73,63.0,fencing,0,0,0,0,1986,30
205,Aidan Roach,AUS,male,1990-09-07,1.87,88.0,aquatics,0,0,0,0,1990,26
206,Aika Hakoyama,JPN,female,1991-07-27,1.76,62.0,aquatics,0,0,1,1,1991,25
207,Aikaterini Nikolaidou,GRE,female,1992-10-22,1.8,70.0,rowing,0,0,0,0,1992,24
208,Aikaterini-Maria Kontochristopoulou,GRE,female,1997-06-10,1.68,58.0,fencing,0,0,0,0,1997,19
209,Aiko Hayashi,JPN,female,1993-11-17,1.66,56.0,aquatics,0,0,1,1,1993,23
210,Aiko Sugihara,JPN,female,1999-09-19,1.46,35.0,gymnastics,0,0,0,0,1999,17
211,Aileen Reid,IRL,female,1982-06-15,1.69,53.0,triathlon,0,0,0,0,1982,34
212,Ailen Valente,ARG,female,1996-03-26,1.67,58.0,gymnastics,0,0,0,0,1996,20
213,Ailly Luciano,NED,female,1991-03-25,1.71,69.0,handball,0,0,0,0,1991,25
214,Ailun Guo,CHN,male,1993-11-14,1.92,85.0,basketball,0,0,0,0,1993,23
215,Aimee Fisher,NZL,female,1995-01-24,1.83,99.0,canoe,0,0,0,0,1995,21
216,Aimee Willmott,GBR,female,1993-02-26,1.71,66.0,aquatics,0,0,0,0,1993,23
217,Aina Cid I Centelles,ESP,female,1994-09-01,1.7,60.0,rowing,0,0,0,0,1994,22
218,Ainhoa Hernandez,ESP,female,1994-04-27,1.8,88.0,handball,0,0,0,0,1994,22
219,Ainhoa Murua,ESP,female,1978-07-18,1.6,48.0,triathlon,0,0,0,0,1978,38
220,Ainur Yesbergenova,KAZ,female,1998-02-11,1.64,49.0,taekwondo,0,0,0,0,1998,18
221,Airi Hatakeyama,JPN,female,1994-08-16,1.71,46.0,gymnastics,0,0,0,0,1994,22
222,Airine Palsyte,LTU,female,1992-07-13,1.87,63.0,athletics,0,0,0,0,1992,24
223,Aisen Chen,CHN,male,1995-10-22,1.68,60.0,aquatics,2,0,0,2,1995,21
224,Aisha Praught,JAM,female,1989-12-14,1.62,50.0,athletics,0,0,0,0,1989,27
225,Aislin Jones,AUS,female,2000-02-08,1.57,51.0,shooting,0,0,0,0,2000,16
226,Aisuluu Tynybekova,KGZ,female,1993-05-04,1.7,58.0,wrestling,0,0,0,0,1993,23
227,Aitor Martinez Rodriguez,ESP,male,1993-08-22,1.83,78.0,aquatics,0,0,0,0,1993,23
228,Aivi Luik,AUS,female,1985-03-18,1.63,58.0,football,0,0,0,0,1985,31
229,Ajee Wilson,USA,female,1994-05-08,1.73,61.0,athletics,0,0,0,0,1994,22
230,Ajla del Ponte,SUI,female,1996-07-15,1.68,56.0,athletics,0,0,0,0,1996,20
231,Ajna Kesely,HUN,female,2001-09-10,1.65,54.0,aquatics,0,0,0,0,2001,15
232,Akalani Baravilala,USA,female,1991-07-12,1.68,74.0,rugby sevens,0,0,0,0,1991,25
233,Akane Kuroki,JPN,female,1978-08-13,1.65,50.0,equestrian,0,0,0,0,1978,38
234,Akane Shibata,JPN,female,1988-04-30,1.53,50.0,hockey,0,0,0,0,1988,28
235,Akane Yamaguchi,JPN,female,1997-06-06,1.56,55.0,badminton,0,0,0,0,1997,19
236,Akani Simbine,RSA,male,1993-09-21,1.76,74.0,athletics,0,0,0,0,1993,23
237,Akashdeep Singh,IND,male,1994-12-02,1.78,70.0,hockey,0,0,0,0,1994,22
238,Akeem Haynes,CAN,male,1992-03-11,1.68,71.0,athletics,0,0,1,1,1992,24
239,Akela Jones,BAR,female,1995-04-22,1.86,77.0,athletics,0,0,0,0,1995,21
240,Aki Mitsuhashi,JPN,female,1989-09-12,1.66,59.0,hockey,0,0,0,0,1989,27
241,Aki Yazawa,JPN,female,1991-11-05,1.56,50.0,canoe,0,0,0,0,1991,25
242,Akihiko Nakamura,JPN,male,1990-10-23,1.8,73.0,athletics,0,0,0,0,1990,26
243,Akiko Sato,JPN,female,1984-02-09,1.62,58.0,shooting,0,0,0,0,1984,32
244,Akira Ioane,NZL,male,1995-06-16,1.94,113.0,rugby sevens,0,0,0,0,1995,21
245,Akira Yanase,JPN,male,1988-08-11,1.91,95.0,aquatics,0,0,0,0,1988,28
246,Akossiwa Claire Ayivon,TOG,female,1996-08-11,1.8666666666666667,86.0,rowing,0,0,0,0,1996,20
247,Akua Obeng-Akrofi,GHA,female,1996-07-10,1.8233333333333333,77.0,athletics,0,0,0,0,1996,20
248,Alaa Ali,IRQ,male,1996-06-03,1.78,68.0,football,0,0,0,0,1996,20
249,Alaaeldin Abouelkassem,EGY,male,1990-11-25,1.88,87.0,fencing,0,0,0,0,1990,26
250,Alade Aminu,NGR,male,1987-09-14,2.1,102.0,basketball,0,0,0,0,1987,29
251,Alain Sign,GBR,male,1986-02-03,1.81,84.0,sailing,0,0,0,0,1986,30
252,Alan Campbell,GBR,male,1983-05-09,1.91,96.0,rowing,0,0,0,0,1983,33
253,Alan Hatherly,RSA,male,1996-03-15,1.78,62.0,cycling,0,0,0,0,1996,20
254,Alan Sinclair,GBR,male,1985-10-16,1.92,96.0,rowing,0,0,0,0,1985,31
255,Alan Sothern,IRL,male,1987-07-28,1.78,76.0,hockey,0,0,0,0,1987,29
256,Alana Barber,NZL,female,1987-07-08,1.63,52.0,athletics,0,0,0,0,1987,29
257,Alana Boyd,AUS,female,1984-05-10,1.71,59.0,athletics,0,0,0,0,1984,32
258,Alanna Kennedy,AUS,female,1995-01-21,1.76,63.0,football,0,0,0,0,1995,21
259,Alastair Brogdon,GBR,male,1987-11-10,1.83,76.0,hockey,0,0,0,0,1987,29
260,Alba Torrens,ESP,female,1989-08-30,1.91,68.0,basketball,0,1,0,1,1989,27
261,Albachir Mouctar,NIG,male,1995-05-01,1.78,76.0,aquatics,0,0,0,0,1995,21
262,Albane Valenzuela,SUI,female,1997-12-17,1.74,58.0,golf,0,0,0,0,1997,19
263,Albert Espanol Lifante,ESP,male,1985-10-29,1.89,86.0,aquatics,0,0,0,0,1985,31
264,Albert Gaun,RUS,male,1992-06-21,1.85,80.0,taekwondo,0,0,0,0,1992,24
265,Albert Hermoso Farras,ESP,male,1978-08-28,1.68,65.0,equestrian,0,0,0,0,1978,38
266,Albert Kibichii Rop,BRN,male,1992-07-17,1.77,63.0,athletics,0,0,0,0,1992,24
267,Albert Puig Garrich,ESP,male,1994-04-01,1.84,78.0,aquatics,0,0,0,0,1994,22
268,Albert Ramon Ramirez,VEN,male,1992-05-07,1.82,79.0,boxing,0,0,0,0,1992,24
269,Albert Ramos-Vinolas,ESP,male,1988-01-17,1.88,80.0,tennis,0,0,0,0,1988,28
270,Albert Saritov,ROU,male,1985-07-08,1.88,100.0,wrestling,0,0,1,1,1985,31
271,Albert Selimov,AZE,male,1986-04-05,1.71,92.5,boxing,0,0,0,0,1986,30
272,Albert Subirats,VEN,male,1986-09-25,1.9,85.0,aquatics,0,0,0,0,1986,30
